Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R43,33k,R_0402_1005Metric,207.165472,-42.358174,315.000000,top
R44,33k,R_0603_1608Metric,203.208625,-45.301327,315.000000,top
R45,33k,R_0402_1005Metric,215.978359,-42.297621,315.000000,top
R46,33k,R_0603_1608Metric,212.021512,-45.240774,315.000000,top
R47,33k,R_0402_1005Metric,224.708940,-42.285489,315.000000,top
R48,33k,R_0603_1608Metric,220.752093,-45.228643,315.000000,top
R49,33k,R_0402_1005Metric,163.448600,-56.376051,315.000000,top
R50,33k,R_0603_1608Metric,159.491753,-59.319204,315.000000,top
R51,33k,R_0402_1005Metric,172.187762,-56.394606,315.000000,top
R52,33k,R_0603_1608Metric,168.230915,-59.337759,315.000000,top
R53,33k,R_0402_1005Metric,180.949320,-56.367291,315.000000,top
R54,33k,R_0603_1608Metric,176.992473,-59.310445,315.000000,top
R55,33k,R_0402_1005Metric,189.605853,-56.437032,315.000000,top
R56,33k,R_0603_1608Metric,185.649005,-59.380185,315.000000,top
R57,33k,R_0402_1005Metric,198.472722,-56.328813,315.000000,top
R58,33k,R_0603_1608Metric,194.515874,-59.271966,315.000000,top
R59,33k,R_0402_1005Metric,207.165472,-56.358174,315.000000,top
R60,33k,R_0603_1608Metric,203.208625,-59.301327,315.000000,top
R61,33k,R_0402_1005Metric,215.978359,-56.297621,315.000000,top
R62,33k,R_0603_1608Metric,212.021512,-59.240774,315.000000,top
R63,33k,R_0402_1005Metric,224.708940,-56.285489,315.000000,top
R64,33k,R_0603_1608Metric,220.752093,-59.228643,315.000000,top
R65,33k,R_0402_1005Metric,163.448600,-70.376051,315.000000,top
R66,33k,R_0603_1608Metric,159.491753,-73.319204,315.000000,top
R67,33k,R_0402_1005Metric,172.187762,-70.394606,315.000000,top
R68,33k,R_0603_1608Metric,168.230915,-73.337759,315.000000,top
R69,33k,R_0402_1005Metric,180.949320,-70.367291,315.000000,top
R70,33k,R_0603_1608Metric,176.992473,-73.310445,315.000000,top
R71,33k,R_0402_1005Metric,189.605853,-70.437032,315.000000,top
R72,33k,R_0603_1608Metric,185.649005,-73.380185,315.000000,top
R73,33k,R_0402_1005Metric,198.472722,-70.328813,315.000000,top
R74,33k,R_0603_1608Metric,194.515874,-73.271966,315.000000,top
R75,33k,R_0402_1005Metric,207.165472,-70.358174,315.000000,top
R76,33k,R_0603_1608Metric,203.208625,-73.301327,315.000000,top
R77,33k,R_0402_1005Metric,215.978359,-70.297621,315.000000,top
R78,33k,R_0603_1608Metric,212.021512,-73.240774,315.000000,top
R79,33k,R_0402_1005Metric,224.708940,-70.285489,315.000000,top
R80,33k,R_0603_1608Metric,220.752093,-73.228643,315.000000,top
R81,33k,R_0402_1005Metric,163.448600,-84.376051,315.000000,top
R82,33k,R_0603_1608Metric,159.491753,-87.319204,315.000000,top
R83,33k,R_0402_1005Metric,172.187762,-84.394606,315.000000,top
R84,33k,R_0603_1608Metric,168.230915,-87.337759,315.000000,top
R85,33k,R_0402_1005Metric,180.949320,-84.367291,315.000000,top
R86,33k,R_0603_1608Metric,176.992473,-87.310445,315.000000,top
R87,33k,R_0402_1005Metric,189.605853,-84.437032,315.000000,top
R88,33k,R_0603_1608Metric,185.649005,-87.380185,315.000000,top
R89,33k,R_0402_1005Metric,198.472722,-84.328813,315.000000,top
R90,33k,R_0603_1608Metric,194.515874,-87.271966,315.000000,top
R91,33k,R_0402_1005Metric,207.165472,-84.358174,315.000000,top
R92,33k,R_0603_1608Metric,203.208625,-87.301327,315.000000,top
R93,33k,R_0402_1005Metric,215.978359,-84.297621,315.000000,top
R94,33k,R_0603_1608Metric,212.021512,-87.240774,315.000000,top
R95,33k,R_0402_1005Metric,224.708940,-84.285489,315.000000,top
R96,33k,R_0603_1608Metric,220.752093,-87.228643,315.000000,top
R97,33k,R_0402_1005Metric,163.448600,-98.376051,315.000000,top
R98,33k,R_0603_1608Metric,159.491753,-101.319204,315.000000,top
R99,33k,R_0402_1005Metric,172.187762,-98.394606,315.000000,top
R100,33k,R_0603_1608Metric,168.230915,-101.337759,315.000000,top
R101,33k,R_0402_1005Metric,180.949320,-98.367291,315.000000,top
R102,33k,R_0603_1608Metric,176.992473,-101.310445,315.000000,top
R103,33k,R_0402_1005Metric,189.605853,-98.437032,315.000000,top
R104,33k,R_0603_1608Metric,185.649005,-101.380185,315.000000,top
R105,33k,R_0402_1005Metric,198.472722,-98.328813,315.000000,top
R106,33k,R_0603_1608Metric,194.515874,-101.271966,315.000000,top
R107,33k,R_0402_1005Metric,207.165472,-98.358174,315.000000,top
R108,33k,R_0603_1608Metric,203.208625,-101.301327,315.000000,top
R109,33k,R_0402_1005Metric,215.978359,-98.297621,315.000000,top
R110,33k,R_0603_1608Metric,212.021512,-101.240774,315.000000,top
R111,33k,R_0402_1005Metric,224.708940,-98.285489,315.000000,top
R112,33k,R_0603_1608Metric,220.752093,-101.228643,315.000000,top
R113,33k,R_0402_1005Metric,163.448600,-112.376051,315.000000,top
R114,33k,R_0603_1608Metric,159.491753,-115.319204,315.000000,top
R115,33k,R_0402_1005Metric,172.187762,-112.394606,315.000000,top
R116,33k,R_0603_1608Metric,168.230915,-115.337759,315.000000,top
R117,33k,R_0402_1005Metric,180.949320,-112.367291,315.000000,top
R118,33k,R_0603_1608Metric,176.992473,-115.310445,315.000000,top
R119,33k,R_0402_1005Metric,189.605853,-112.437032,315.000000,top
R120,33k,R_0603_1608Metric,185.649005,-115.380185,315.000000,top
R121,33k,R_0402_1005Metric,198.472722,-112.328813,315.000000,top
R122,33k,R_0603_1608Metric,194.515874,-115.271966,315.000000,top
R123,33k,R_0402_1005Metric,207.165472,-112.358174,315.000000,top
R124,33k,R_0603_1608Metric,203.208625,-115.301327,315.000000,top
R125,33k,R_0402_1005Metric,215.978359,-112.297621,315.000000,top
R126,33k,R_0603_1608Metric,212.021512,-115.240774,315.000000,top
R127,33k,R_0402_1005Metric,224.708940,-112.285489,315.000000,top
R128,33k,R_0603_1608Metric,220.752093,-115.228643,315.000000,top
U1,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,149.048600,-12.676051,90.000000,top
U2,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,149.048600,-26.976051,90.000000,top
U3,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,149.048600,-41.276051,90.000000,top
U4,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,149.048600,-55.276051,90.000000,top
U5,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,149.048600,-69.276051,90.000000,top
U6,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,149.048600,-83.276051,90.000000,top
U7,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,149.048600,-97.276051,90.000000,top
U8,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,149.048600,-111.276051,90.000000,top
U9,ADuM1200AR,SOIC-8_3.9x4.9mm_P1.27mm,131.048600,-26.576051,270.000000,top
U10,ADuM1200AR,SOIC-8_3.9x4.9mm_P1.27mm,131.048600,-35.576051,270.000000,top
U11,ADuM1200AR,SOIC-8_3.9x4.9mm_P1.27mm,131.048600,-43.676051,90.000000,top
